,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
0,The Shawshank Redemption,(1994),9.3,"
R
|
142 min
|

Drama            
","
Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","
Votes:
2,647,314
| Gross:
$28.34M
",81        ,['Frank Darabont'],"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
1,The Godfather,(1972),9.2,"
175 min
|

Crime, Drama            
","
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.","
Votes:
1,835,072
| Gross:
$134.97M
",100        ,['Francis Ford Coppola'],"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
2,The Dark Knight,(2008),9.0,"
PG-13
|
152 min
|

Action, Crime, Drama            
","
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","
Votes:
2,619,277
| Gross:
$534.86M
",84        ,['Christopher Nolan'],"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
3,The Lord of the Rings: The Return of the King,(2003),9.0,"
PG-13
|
201 min
|

Action, Adventure, Drama            
","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","
Votes:
1,823,184
| Gross:
$377.85M
",94        ,['Peter Jackson'],"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
4,Schindler's List,(1993),9.0,"
R
|
195 min
|

Biography, Drama, History            
","
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","
Votes:
1,341,758
| Gross:
$96.90M
",94        ,['Steven Spielberg'],"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
5,The Godfather Part II,(1974),9.0,"
202 min
|

Crime, Drama            
","
The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","
Votes:
1,257,635
| Gross:
$57.30M
",90        ,['Francis Ford Coppola'],"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
6,12 Angry Men,(1957),9.0,"
96 min
|

Crime, Drama            
","
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.","
Votes:
781,614
| Gross:
$4.36M
",96        ,['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
7,Rocketry: The Nambi Effect,(2022),8.9,"
157 min
|

Biography, Drama            
","
Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.","
Votes:
46,389
",,['Madhavan'],"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']"
8,Pulp Fiction,(1994),8.9,"
R
|
154 min
|

Crime, Drama            
","
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","
Votes:
2,026,025
| Gross:
$107.93M
",94        ,['Quentin Tarantino'],"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
9,Al-risâlah,(1976),8.9,"
PG
|
207 min
|

Biography, Drama, History            
","
The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""","
Votes:
9,374
",,['Moustapha Akkad'],"['Abdallah Gheith', 'Mona Wassef', 'Hamdy Gheith', 'Ali Achmed Taram']"
